UGY;VOF;u/u_av_line;Points:0;Points:1;Points:2
9.539e-06;1;0.0001625;0.0782;0.0009576;4.8048e-05
9.4544e-06;1;0.00016106;0.0782;0.00096045;4.8191e-05
9.3698e-06;1;0.00015962;0.0782;0.0009633;4.8334e-05
9.2852e-06;1;0.00015818;0.0782;0.00096615;4.8477e-05
9.2005e-06;1;0.00015674;0.0782;0.000969;4.862e-05
9.1159e-06;1;0.0001553;0.0782;0.00097185;4.8763e-05
9.0313e-06;1;0.00015386;0.0782;0.0009747;4.8906e-05
8.9467e-06;1;0.00015241;0.0782;0.00097755;4.9049e-05
8.8621e-06;1;0.00015097;0.0782;0.0009804;4.9192e-05
8.7775e-06;1;0.00014953;0.0782;0.00098325;4.9335e-05
8.6929e-06;1;0.00014809;0.0782;0.0009861;4.9478e-05
8.6083e-06;1;0.00014665;0.0782;0.00098895;4.9621e-05
8.5237e-06;1;0.00014521;0.0782;0.0009918;4.9764e-05
8.4391e-06;1;0.00014377;0.0782;0.00099465;4.9907e-05
8.3545e-06;1;0.00014232;0.0782;0.0009975;5.005e-05
8.2699e-06;1;0.00014088;0.0782;0.0010003;5.0193e-05
8.1853e-06;1;0.00013944;0.0782;0.0010032;5.0336e-05
8.1007e-06;1;0.000138;0.0782;0.0010061;5.0479e-05
8.016e-06;1;0.00013656;0.0782;0.0010089;5.0622e-05
7.9314e-06;1;0.00013512;0.0782;0.0010117;5.0765e-05
7.8468e-06;1;0.00013368;0.0782;0.0010146;5.0908e-05
7.7622e-06;1;0.00013224;0.0782;0.0010175;5.1051e-05
7.6776e-06;1;0.00013079;0.0782;0.0010203;5.1194e-05
7.593e-06;1;0.00012935;0.0782;0.0010232;5.1337e-05
7.5084e-06;1;0.00012791;0.0782;0.001026;5.148e-05
7.4238e-06;1;0.00012647;0.0782;0.0010288;5.1623e-05
7.3392e-06;1;0.00012503;0.0782;0.0010317;5.1766e-05
7.2546e-06;1;0.00012359;0.0782;0.0010346;5.1909e-05
7.17e-06;1;0.00012215;0.0782;0.0010374;5.2052e-05
7.0854e-06;1;0.0001207;0.0782;0.0010403;5.2195e-05
7.0008e-06;1;0.00011926;0.0782;0.0010431;5.2338e-05
6.9161e-06;1;0.00011782;0.0782;0.0010459;5.2481e-05
6.8315e-06;1;0.00011638;0.0782;0.0010488;5.2624e-05
6.7469e-06;1;0.00011494;0.0782;0.0010517;5.2767e-05
6.6623e-06;1;0.0001135;0.0782;0.0010545;5.291e-05
6.5777e-06;1;0.00011206;0.0782;0.0010573;5.3053e-05
6.4931e-06;1;0.00011062;0.0782;0.0010602;5.3196e-05
6.4085e-06;1;0.00010917;0.0782;0.0010631;5.3339e-05
6.3239e-06;1;0.00010773;0.0782;0.0010659;5.3482e-05
6.1898e-06;1;0.00010545;0.0782;0.0010688;5.3625e-05
6.0337e-06;1;0.00010279;0.0782;0.0010716;5.3768e-05
5.8776e-06;1;0.00010013;0.0782;0.0010744;5.3911e-05
5.7215e-06;1;9.7471e-05;0.0782;0.0010773;5.4054e-05
5.5654e-06;1;9.4811e-05;0.0782;0.0010802;5.4197e-05
5.4093e-06;1;9.2152e-05;0.0782;0.001083;5.434e-05
5.2532e-06;1;8.9492e-05;0.0782;0.0010859;5.4483e-05
5.0971e-06;1;8.6833e-05;0.0782;0.0010887;5.4626e-05
4.941e-06;1;8.4174e-05;0.0782;0.0010915;5.4769e-05
4.7849e-06;1;8.1514e-05;0.0782;0.0010944;5.4912e-05
4.6288e-06;1;7.8855e-05;0.0782;0.0010973;5.5055e-05
4.4727e-06;1;7.6195e-05;0.0782;0.0011001;5.5198e-05
4.3166e-06;1;7.3536e-05;0.0782;0.001103;5.5341e-05
4.1604e-06;1;7.0876e-05;0.0782;0.0011058;5.5484e-05
4.0043e-06;1;6.8217e-05;0.0782;0.0011087;5.5627e-05
